Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HiUpTestSuite,,,2018-07-03 10:09:35,2018-07-03 10:12:27,2m - 51.929s,PASSED
,,,,,,
Test Cases/HiUP_LoginTest,,,2018-07-03 10:09:36,2018-07-03 10:11:35,1m - 59.178s,PASSED
Statement - Try,,,2018-07-03 10:09:36,2018-07-03 10:11:35,1m - 58.644s,PASSED
,,,,,,
Test Cases/JobSettingTest,,,2018-07-03 10:11:35,2018-07-03 10:12:25,50.294s,PASSED
Statement - Try,,,2018-07-03 10:11:35,2018-07-03 10:11:59,23.707s,PASSED
Statement - Try,,,2018-07-03 10:11:59,2018-07-03 10:12:07,7.931s,PASSED
Statement - Catch (Exception e),,,2018-07-03 10:12:07,2018-07-03 10:12:07,0.036s,PASSED
Statement - Try,,,2018-07-03 10:12:07,2018-07-03 10:12:25,18.278s,PASSED
